Subject,Session,Group,Type,Total
s15,hypno,high,Miss NoGo,8
s15,hypno,high,Focus,26
s15,hypno,high,Related thought,1
s15,hypno,high,Sensory,1
s15,hypno,high,MW,2
s15,norm,high,Go,527
s15,norm,high,NoGo,19
s15,norm,high,Missed Go,13
s15,norm,high,Miss NoGo,11
s15,norm,high,Focus,11
s15,norm,high,Related thought,4
s15,norm,high,Sensory,0
s15,norm,high,MW,15
s23,hypno,high,Go,539
s23,hypno,high,NoGo,13
s23,hypno,high,Missed Go,1
s23,hypno,high,Miss NoGo,17
s23,hypno,high,Focus,25
s23,hypno,high,Related thought,1
s23,hypno,high,Sensory,3
s23,hypno,high,MW,1
s23,norm,high,Go,512
s23,norm,high,NoGo,0
s23,norm,high,Missed Go,28
s23,norm,high,Miss NoGo,30
s23,norm,high,Focus,14
s23,norm,high,Related thought,11
s23,norm,high,Sensory,4
s23,norm,high,MW,1
s24,hypno,high,Go,478
s24,hypno,high,NoGo,22
s24,hypno,high,Missed Go,62
s24,hypno,high,Miss NoGo,8
s24,hypno,high,Focus,1
s24,hypno,high,Related thought,4
s24,hypno,high,Sensory,1
s24,hypno,high,MW,24
s24,norm,high,Go,495
s24,norm,high,NoGo,19
s24,norm,high,Missed Go,45
s24,norm,high,Miss NoGo,11
s24,norm,high,Focus,1
s24,norm,high,Related thought,4
s24,norm,high,Sensory,2
s24,norm,high,MW,23
